id,cases
345,84093788
346,84720299
347,85253202
348,85807043
349,86547096
350,87330661
351,88211545
352,89014809
353,89776075
354,90365376
355,90984976
356,91690531
357,92438858
358,93194145
359,93961381
360,94600703
361,95130064
362,95645312
363,96253248
364,96946210
365,97602571
366,98261639
367,98829909
368,99275699
369,99772747
370,100329071
371,100927448
372,101541893
373,102132381
374,102647858
375,103029652
376,103476199
377,103934126
378,104456157
379,104923095
380,105458548
381,105830862
382,106229038
383,106545054
384,106972720
385,107408534
386,107850003
387,108278724
388,108652122
389,108946086
390,109229345
391,109580144
392,109975720
393,110379223
394,110791727
395,111162265
396,111476792
397,111765161
398,112154029
399,112598969
400,113046460
401,113489486
402,113878785
403,114182356
404,114488090
405,114798408
406,115239558
407,115692613
408,116139645
409,116550222
410,116918602
411,117217208
412,117631885
413,118098952
414,118575835
415,119065151
416,119519364
417,119879810
418,120228591
419,120701640
420,121241068
421,121794627
422,122356343
423,122855285
424,123278672
425,123695333
426,124209643
427,124843218
428,125494652
429,126136052
430,126720792
431,127190873
432,127649131
433,128217581
434,128900516
435,129612373
436,130246167
437,130775801
438,131328758
439,131818062
440,132422295
441,133106608
442,133946462
443,134694522
444,135359190
445,136050057
446,136666545
447,137446191
448,138263254
449,139080030
450,139934945
451,140723160
452,141408751
453,142102363
454,142956456
455,143846433
456,144746200
457,145649953
458,146471022
459,147193478
460,147876137
461,148720592
462,149626600
463,150524258
464,151403270
465,152200029
466,152874414
467,153555936
468,154363355
469,155204557
470,156074567
471,156906973
472,157692702
473,158334279
474,158956114
475,159694580
476,160454640
477,161179904
478,161897925
479,162525945
480,163074549
481,163614578
482,164237099
483,164908717
484,165188667
485,165814687
486,166392887
487,166869422
488,167323965
489,167856146
490,168424727
491,168979456
492,169479741
493,169961055
494,170352480
495,170731385
496,171195110
497,171680812
498,172169929
499,172589646
500,172988007
501,173310648
502,173631266
503,173997437
504,174416271
